Year,Category,Subtype,Count,Cleared,ClearRate
2022,Crimes Against Property,Auto Theft,79,0,0.0
2023,Crimes Against Property,Break & Enter-House,1,0,0.0
2014,Crimes Against Property,Auto Theft,7,0,0.0
2021,Crimes Against the Person,Sexual Violation,1,0,0.0
2020,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2017,Crimes Against Property,Break & Enter-Apartment,1,0,0.0
2023,Crimes Against Property,Theft Under $5000,3,0,0.0
2018,Crimes Against Property,Break & Enter-Other,1,0,0.0
2014,Crimes Against the Person,Sexual Violation,1,0,0.0
2022,Crimes Against Property,Theft Over $5000,2,0,0.0
2021,Crimes Against Property,Break & Enter-Commercial,1,0,0.0
2016,Crimes Against Property,Break & Enter-House,1,0,0.0
2017,Crimes Against Property,Auto Theft,1,0,0.0
2017,Crimes Against Property,Auto Theft,13,0,0.0
2019,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2014,Crimes Against the Person,Robbery-Other,1,0,0.0
2021,Crimes Against Property,Break & Enter-Other,2,0,0.0
2018,Crimes Against the Person,Sexual Violation,2,0,0.0
2023,Crimes Against Property,Break & Enter-Apartment,2,0,0.0
2017,Crimes Against Property,Break & Enter-Other,3,0,0.0
2016,Crimes Against Property,Other,1,0,0.0
2015,Crimes Against Property,Auto Theft,13,0,0.0
2014,Crimes Against the Person,Attempt Murder,1,0,0.0
2015,Crimes Against the Person,Sexual Violation,2,0,0.0
2014,Crimes Against the Person,Robbery-Other,1,0,0.0
2015,Crimes Against Property,Other,1,0,0.0
2019,Crimes Against Property,Break & Enter-House,1,0,0.0
2022,Crimes Against Property,Auto Theft,5,0,0.0
2021,Crimes Against Property,Auto Theft,16,0,0.0
2020,Crimes Against Property,Break & Enter-House,3,0,0.0
2014,Crimes Against the Person,Attempt Murder,1,0,0.0
2019,Crimes Against Property,Theft Over $5000,1,0,0.0
2023,Crimes Against Property,Theft Over $5000,2,0,0.0
2023,Crimes Against Property,Theft Over $5000,5,0,0.0
2021,Crimes Against Property,Auto Theft,21,0,0.0
2023,Other Federal Statute Violations,Other,2,0,0.0
2022,Crimes Against Property,Theft Over $5000,3,0,0.0
2020,Crimes Against Property,Break & Enter-House,1,0,0.0
2023,Crimes Against Property,Theft Over $5000,2,0,0.0
2014,Crimes Against Property,Break & Enter-Commercial,2,0,0.0
2019,Crimes Against Property,Auto Theft,10,0,0.0
2017,Crimes Against Property,Theft Over $5000,1,0,0.0
2014,Crimes Against Property,Fraud,2,0,0.0
2017,Crimes Against Property,Break & Enter-House,9,0,0.0
2020,Crimes Against Property,Auto Theft,15,0,0.0
2014,Crimes Against the Person,Attempt Murder,1,0,0.0
2017,Crimes Against Property,Break & Enter-Other,1,0,0.0
2021,Crimes Against the Person,Robbery-Other,3,0,0.0
2019,Crimes Against the Person,Robbery-Other,3,0,0.0
2019,Crimes Against Property,Break & Enter-Apartment,5,0,0.0
2017,Crimes Against Property,Break & Enter-Other,1,0,0.0
2019,Crimes Against Property,Break & Enter-Commercial,3,0,0.0
2021,Crimes Against Property,Fraud,1,0,0.0
2022,Crimes Against Property,Fraud,5,0,0.0
2014,Crimes Against Property,Break & Enter-Apartment,6,0,0.0
2021,Crimes Against Property,Auto Theft,61,0,0.0
2015,Crimes Against Property,Break & Enter-Commercial,8,0,0.0
2022,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,0,0.0
2015,Crimes Against Property,Break & Enter-Commercial,1,0,0.0
2017,Crimes Against Property,Auto Theft,12,0,0.0
2022,Crimes Against Property,Break & Enter-House,9,0,0.0
2022,Crimes Against Property,Theft Over $5000,4,0,0.0
2022,Crimes Against the Person,Sexual Violation,1,0,0.0
2021,Crimes Against Property,Theft Under $5000,1,0,0.0
2017,Crimes Against Property,Break & Enter-Commercial,1,0,0.0
2016,Crimes Against Property,Theft Over $5000,1,0,0.0
2014,Crimes Against the Person,Attempt Murder,2,0,0.0
